שם,תפקיד,עיר,תקופה
שמואל בן סעדיה,סופר,מצ׳מאר - הרי חראז,מאה י״ז
"שמן, יוסף בן מרי שלום",רב העיר הרצליה,צנעא ־ הרצליה,מאה כ׳
"שמן, שלום בן שלום",סגן ראש הישיבה,צכעא,מאה י״ט־כ׳
שמעון התימני,מחכמי המשנה,תימן י - יבנה,מאה שנייה
שמריה בן דוד,---,---,---
שמריה בן יוסף בן שלום,סופר,---,"מאה י ""ז"
שמריה בן צמח,חכם,---,מאה י״ב
"שסגם־שבזי, שלום בן יחיא",סופר,שרעב,מאה י״ט
"שעתאל, יוסף",רב קהילה,צנעא - שיבאם,מאוח י״ט
"שרארה, עמרם בן שלום בן יתר",סופר,דרב אלמהרס - רחבה ־ נהיג׳,מאה י״ז
"שריאן (-שריון), יחיא",חכם,צנעא,מאה י״ט
"שרעבי, אברהם סעיד",מנהיג,מתנת העולים גאולת,מאת כ׳
"שרעבי-מזרחי, אברהם שלום",מקובל וראש ישיבת,ירושלים,מאה י״ח־י״ט
"שרעבי, אהרן",דיין,רדאע,"מאה י""ח"
"שרעבי, דוד בן שמעון",דיין ואב״ד,אלמסילה - שרעב,מאה י״ט־כ׳
"שרעבי, זכריה אביגד",רב העיר תל-אביב והמחוז,שרעב - ת״א,מאה כ׳
"שרעבי, חסן בן דוד",רב קהילה,סופעי - ירים,מאה כ׳
"שרעבי, יהודה",חכם,תימן - ארצות המזרח,מאה י״ח!
"שרעבי, יהודה בן חיים",מנהיג,סרה ־ ררום תימן,מאה כ׳
"שרעבי, יוסף בן דוד",חכם,שרעב,מאה כ׳
"שרעבי, יחיא",חכם,צנעא,מאה י״ס
"שרעבי, יחיא בן אהרן",סופר,---,מאה י״ט־כ׳
"שרעבי, יחיא בן יחיא",מנהיג,סרה - מרכז הימן,מאה כ׳
"שרעבי, יעיש",רב קהילה,כפר רועאש - שרעב,מאה י״ט־כ׳
"שרעבי, יעיש יוסף",---,---,---
"שרעבי, מרדכי בן יהודה",ראש חמקובלים,שרעב ־ ירושלים,מאה י״ט־כ׳
"שרעבי, שלום",רב עיר,מעראץ - ירים - חררה,מאה כ׳
"שרפי, יוסף בן שמעון",סופר!,---,מאה י״ט
"שרפי, שמעון בן שלמה",ראש קהילה,רדאע,מאה י״ט־כ7
שר שלום בן יצחק,---,---,---
"תאם, אברהם",דיין,כומים - מרכז תימן,מאה כ׳
"תאם, יוסף בן אברהם",מחכמי הישיבה,צנעא,מאה י״ט
"תורכי, יחיא בן דוד",ותכם,צנעא,מאה י״ח־י״ט
"תורכי, משה בן שמואל",סופר,---,מאה כ׳
תם,---,---,---
"תנעמי, יחיא",רב קהילה,עמראן ־ מרכז תימן,מאה י״ט־כ׳
"תנעמי, מנצור",חכם,מרכז תימן,מאה י״ס
"תנעמי, סעדיה",ריין,צנעא,מאה י״ח
"תנעמי, שלום בן זכריה",חכם,בצי חראב מואדי עאשר,מאה ט״ז
"תנעמי, שלום בן זכריה בן שלום",סופר,תנעם ־ מרכז תימן,מאה ט״ו
"תנעמי, שלום בן משה",חכם,צפא ־ סר ־ באר שבע,מאה י״ט־כ׳
"תנעמי, שלום בן שלום",רב קהילה,גרווח - חראז,מאה י״ט - כ׳
"תנעמי, שלום בן שלמה",סופר,---,מאה י״וז
"תנעמי, שלמה",רב קהילה,צנעא - עמראן,מאה י״ס
"תעיזי, חיים בן אברהם",רב קהילה,כפר רובע ־ מבלף - תעיז,מאה י״ט
"תעיזי-דורני, חיים בן שלמה",חכם וסופר,בני יוסף ־ חוגריה,מאת כ׳
"תעיזי-שאער, יפת בן אברהם",---,---,---
"תעיזי, יששכר בן חיים",מנהיג,מבלף - שרעב,מאה י״ט־כ׳
"תעיזי, משה בן אברהם",סופר,וערה,מאה י׳׳ח
"תערנשה, סעדיה בן שלום",חכם וסופר,רצאבה ־ מרכז תימן,מאה י״ט
