שם,תפקיד,עיר,תקופה
"חבשוש, שלום בן יחיא",ריין וראש הישיבה,צנעא,מאה י״ט
"חדאד, חסן",מנהיג,---,מחנה גאולה ־ עדך אמצע מאה כ׳
"חדאד, יעיש בן סעדיה",דיין ומקובל,מועיציריה ־ תעז וחוגריה,מאה י״מ
"חדאד, סעדיה בן אברהם",סופר,עראס - מרכז הימן,מאה י״ח
"חדה, דוד",רב ראשי וראב״ר,חרה ־ שרעב,מאה י״ס
"חואס, יחיא בן סעדיה",מגדולי חכמי תימן,עדן,מאה י״ג-י״ז*
"חובארה, יוסף בן שלום",סופר,צנעא,מאה י״ט־כ׳
"חוזה-מונגים, סעדיה בן יפת",חכם ופעיל ציבור,שרעב ־ רמת־גן,מאה כ׳
"חוטר, שלום בן שלמה",חכם,ערן,מאה י״ט־כ׳
חוטר בן שלמה בן מעלם,חכם,ר׳מאר,מאה ט״ו
"חזן, אברהם",סופר,קרקוש,מאה י״ט
"חזן, אהרן משה",רב קהילה,ערן־ר״ג,מאה כ׳
"חזן, ישורון שלמה בן ישועה",סופר,---,מאה ט״ו
"חיבי, אברהם בן שלום",חכם ומשורר,בית עד׳אקה - שכונת התקנה תל- אביב,מאה כ׳
"חזק, מעורר בן יפת",סופר,נג׳ך אבו עומר,זמנו!
חזקיה בן רור,מנהיג ודיין,צומרה ־ ירים,מאה כ׳
"חיראני, יוסף אהרן",חכם ומנהיג,מראשי מהנה עוליס גאולה בעדן,מאה כ׳
"חייט, יחיא בן יחיא",רב קהילה,עראם־ך׳מאר-זבדיאל,מאה י״ט- כ׳ מרי יחיא בן יחיא חייט נולד בכפר עראם שבמחוז ד׳מאר בשנת תרנ״א (1891). למד תורה אצל אביו ר׳ יחיא בן משה.
חיים,סופר,---,מאה י״ח
חיים,רב קהילה,דוג׳אם - דרום תימן,מאה י״ס-ב'
חיים בן אברהם,חכם וסופר,דרום תימן,מאה י״ט
חיים בן יצחק,סופר,צנעא,מאה י״ט
חיים בן נתן,סופר,---,מאה י״ט־כ׳
חיים בן סעדיה,סופר,---,מאה י״ז
חיים בן סעדיה,סופר,אלציח - מרכז תימן,מאה י״ח
חיים בן שר שלום,---,---,---
"חיש, יוסף בן משה אליהו",חכם וסופר,---,מאה י״ר
"חכם, אברהם יוסף",סופר,צנעא,מאה כ׳
"חלא, אברהם",רב קהילה,בני עתם ־ מרכז תימן,מאה כ'
חלפון בן מצמון בן חלפון,נגיד תימן,עדן,מאה י״ג
חלפון בן מצ׳מון בן יפת-חסן,נגיד תימן,עדן,מאה י״ב
חלפון בן שמריה,נגיד תימן,עדן,מאה י״ג
חמאמי,---,---,---
"חמאמי, יוסף בן יוסף",סופר,תגעם ־ מרכז תימן,מאה י״ט
"חמאמי, יוסף בן יוסף",חכם,---,מאה י״ח־י״ט
"חמאמי, יחיא",רב קהילה,תנעם־ירושלים,מאה י״ט־כ׳
"חמאמי, מחפוץ בן יחיא",סופר,---,מאה י״ט
"חמדי, לוי",נשיא יהודי כוצ׳מאר - מרכז תימן,---,אמצע מאה י״ט
"חמיארי, יוסף",ריין,שרעב,מאה י״ז־י״ח
"חמר, זכריא בן יוסף הלוי",סופר,---,מאה י״ז!
"חנדלי, יפת בן דוד",ריין,שרעב,מאה כ׳
